"OCCUPANCY_DATE","PROGRAM_MODEL","CAPACITY_TYPE","OCCUPANCY_RATE_ROOMS","OCCUPANCY_RATE_BEDS","month"
2023-05-02,"Emergency","Bed Based Capacity",NA,96,2023-05-01
2023-05-02,"Transitional","Bed Based Capacity",NA,93.33,2023-05-01
2023-05-02,"Transitional","Bed Based Capacity",NA,94.87,2023-05-01
2023-05-03,"Emergency","Room Based Capacity",99.31,NA,2023-05-01
2023-05-03,"Emergency","Room Based Capacity",100,NA,2023-05-01
2023-05-03,"Emergency","Bed Based Capacity",NA,100,2023-05-01
2023-05-03,"Emergency","Room Based Capacity",98.57,NA,2023-05-01
2023-05-03,"Transitional","Bed Based Capacity",NA,94.44,2023-05-01
2023-05-03,"Transitional","Bed Based Capacity",NA,96,2023-05-01
2023-05-03,"Emergency","Room Based Capacity",97.06,NA,2023-05-01
2023-05-03,"Transitional","Bed Based Capacity",NA,100,2023-05-01
2023-05-03,"Emergency","Bed Based Capacity",NA,98.04,2023-05-01
2023-05-03,"Transitional","Bed Based Capacity",NA,81.82,2023-05-01
2023-05-03,"Emergency","Bed Based Capacity",NA,80,2023-05-01
2023-05-03,"Transitional","Bed Based Capacity",NA,96.67,2023-05-01
2023-05-03,"Emergency","Room Based Capacity",93.18,NA,2023-05-01
2023-05-03,"Emergency","Room Based Capacity",98.89,NA,2023-05-01
2023-05-03,"Transitional","Bed Based Capacity",NA,88.46,2023-05-01
2023-05-03,"Transitional","Bed Based Capacity",NA,80,2023-05-01
2023-05-03,"Emergency","Bed Based Capacity",NA,98.68,2023-05-01
2023-05-03,"Transitional","Room Based Capacity",100,NA,2023-05-01
2023-05-03,"Emergency","Bed Based Capacity",NA,98.53,2023-05-01
2023-05-03,"Emergency","Bed Based Capacity",NA,98,2023-05-01
2023-05-03,"Emergency","Bed Based Capacity",NA,98.61,2023-05-01
2023-05-03,"Transitional","Bed Based Capacity",NA,82.35,2023-05-01
2023-05-03,"Transitional","Room Based Capacity",96,NA,2023-05-01
2023-05-03,"Emergency","Bed Based Capacity",NA,95.24,2023-05-01
2023-05-03,"Emergency","Bed Based Capacity",NA,96,2023-05-01
2023-05-03,"Transitional","Bed Based Capacity",NA,93.33,2023-05-01
2023-05-03,"Transitional","Bed Based Capacity",NA,94.87,2023-05-01
2023-05-04,"Emergency","Room Based Capacity",100,NA,2023-05-01
2023-05-04,"Emergency","Bed Based Capacity",NA,100,2023-05-01
2023-05-04,"Emergency","Room Based Capacity",98.44,NA,2023-05-01
2023-05-04,"Transitional","Bed Based Capacity",NA,88.89,2023-05-01
2023-05-04,"Transitional","Bed Based Capacity",NA,94,2023-05-01
2023-05-04,"Emergency","Room Based Capacity",95.59,NA,2023-05-01
2023-05-04,"Transitional","Bed Based Capacity",NA,100,2023-05-01
2023-05-04,"Transitional","Bed Based Capacity",NA,98.92,2023-05-01
2023-05-04,"Emergency","Bed Based Capacity",NA,98.04,2023-05-01
2023-05-04,"Transitional","Bed Based Capacity",NA,81.82,2023-05-01
2023-05-04,"Transitional","Bed Based Capacity",NA,96.67,2023-05-01
2023-05-04,"Emergency","Room Based Capacity",95.38,NA,2023-05-01
2023-05-04,"Emergency","Bed Based Capacity",NA,98.73,2023-05-01
2023-05-04,"Emergency","Room Based Capacity",92.42,NA,2023-05-01
2023-05-04,"Emergency","Room Based Capacity",98.89,NA,2023-05-01
2023-05-04,"Emergency","Bed Based Capacity",NA,98.08,2023-05-01
2023-05-04,"Transitional","Bed Based Capacity",NA,88.46,2023-05-01
2023-05-04,"Transitional","Bed Based Capacity",NA,80,2023-05-01
2023-05-04,"Emergency","Bed Based Capacity",NA,98.21,2023-05-01
2023-05-04,"Transitional","Room Based Capacity",100,NA,2023-05-01
2023-05-04,"Emergency","Bed Based Capacity",NA,98.59,2023-05-01
2023-05-04,"Transitional","Bed Based Capacity",NA,82.35,2023-05-01
2023-05-04,"Transitional","Room Based Capacity",96,NA,2023-05-01
2023-05-04,"Emergency","Bed Based Capacity",NA,99.59,2023-05-01
2023-05-04,"Emergency","Bed Based Capacity",NA,96,2023-05-01
2023-05-04,"Transitional","Bed Based Capacity",NA,93.33,2023-05-01
2023-05-04,"Transitional","Bed Based Capacity",NA,94.87,2023-05-01
2023-05-05,"Emergency","Room Based Capacity",99.32,NA,2023-05-01
2023-05-05,"Emergency","Room Based Capacity",100,NA,2023-05-01
2023-05-05,"Emergency","Bed Based Capacity",NA,87.5,2023-05-01
2023-05-05,"Emergency","Bed Based Capacity",NA,100,2023-05-01
2023-05-05,"Transitional","Bed Based Capacity",NA,88.89,2023-05-01
2023-05-05,"Emergency","Room Based Capacity",99.03,NA,2023-05-01
2023-05-05,"Emergency","Room Based Capacity",97.62,NA,2023-05-01
2023-05-05,"Transitional","Bed Based Capacity",NA,96,2023-05-01
2023-05-05,"Emergency","Room Based Capacity",95.59,NA,2023-05-01
2023-05-05,"Transitional","Bed Based Capacity",NA,100,2023-05-01
2023-05-05,"Emergency","Bed Based Capacity",NA,98.04,2023-05-01
2023-05-05,"Transitional","Bed Based Capacity",NA,81.82,2023-05-01
2023-05-05,"Transitional","Bed Based Capacity",NA,96.67,2023-05-01
2023-05-05,"Emergency","Room Based Capacity",96.92,NA,2023-05-01
2023-05-05,"Emergency","Bed Based Capacity",NA,98.73,2023-05-01
2023-05-05,"Emergency","Room Based Capacity",92.42,NA,2023-05-01
2023-05-05,"Emergency","Bed Based Capacity",NA,98.08,2023-05-01
2023-05-05,"Emergency","Bed Based Capacity",NA,96.55,2023-05-01
2023-05-05,"Transitional","Bed Based Capacity",NA,88.46,2023-05-01
2023-05-05,"Transitional","Bed Based Capacity",NA,84,2023-05-01
2023-05-05,"Emergency","Bed Based Capacity",NA,98.17,2023-05-01
2023-05-05,"Emergency","Bed Based Capacity",NA,98.31,2023-05-01
2023-05-05,"Transitional","Room Based Capacity",100,NA,2023-05-01
2023-05-05,"Transitional","Bed Based Capacity",NA,82.35,2023-05-01
2023-05-05,"Transitional","Room Based Capacity",96,NA,2023-05-01
2023-05-05,"Emergency","Room Based Capacity",96.15,NA,2023-05-01
2023-05-05,"Transitional","Bed Based Capacity",NA,93.33,2023-05-01
2023-05-05,"Transitional","Bed Based Capacity",NA,97.44,2023-05-01
2023-05-06,"Emergency","Room Based Capacity",100,NA,2023-05-01
2023-05-06,"Emergency","Bed Based Capacity",NA,87.5,2023-05-01
2023-05-06,"Emergency","Bed Based Capacity",NA,100,2023-05-01
2023-05-06,"Emergency","Room Based Capacity",98.78,NA,2023-05-01
2023-05-06,"Transitional","Bed Based Capacity",NA,88.89,2023-05-01
2023-05-06,"Emergency","Room Based Capacity",97.56,NA,2023-05-01
2023-05-06,"Transitional","Bed Based Capacity",NA,96,2023-05-01
2023-05-06,"Emergency","Room Based Capacity",94.12,NA,2023-05-01
2023-05-06,"Transitional","Bed Based Capacity",NA,100,2023-05-01
2023-05-06,"Emergency","Bed Based Capacity",NA,98.77,2023-05-01
2023-05-06,"Transitional","Bed Based Capacity",NA,81.82,2023-05-01
2023-05-06,"Transitional","Bed Based Capacity",NA,90,2023-05-01
2023-05-06,"Emergency","Room Based Capacity",98.46,NA,2023-05-01
2023-05-06,"Emergency","Bed Based Capacity",NA,98.73,2023-05-01
2023-05-06,"Emergency","Room Based Capacity",92.42,NA,2023-05-01
2023-05-06,"Emergency","Bed Based Capacity",NA,98.28,2023-05-01
2023-05-06,"Transitional","Bed Based Capacity",NA,88.46,2023-05-01
2023-05-06,"Transitional","Bed Based Capacity",NA,88,2023-05-01
2023-05-06,"Emergency","Bed Based Capacity",NA,98.15,2023-05-01
2023-05-06,"Transitional","Room Based Capacity",100,NA,2023-05-01
2023-05-06,"Transitional","Bed Based Capacity",NA,82.35,2023-05-01
2023-05-06,"Transitional","Room Based Capacity",96,NA,2023-05-01
2023-05-06,"Emergency","Bed Based Capacity",NA,95,2023-05-01
2023-05-06,"Transitional","Bed Based Capacity",NA,93.33,2023-05-01
2023-05-06,"Transitional","Bed Based Capacity",NA,97.44,2023-05-01
2023-05-07,"Emergency","Room Based Capacity",100,NA,2023-05-01
2023-05-07,"Emergency","Bed Based Capacity",NA,62.5,2023-05-01
2023-05-07,"Emergency","Bed Based Capacity",NA,100,2023-05-01
2023-05-07,"Emergency","Room Based Capacity",98.39,NA,2023-05-01
2023-05-07,"Transitional","Bed Based Capacity",NA,94.44,2023-05-01
2023-05-07,"Transitional","Bed Based Capacity",NA,96,2023-05-01
2023-05-07,"Emergency","Room Based Capacity",94.12,NA,2023-05-01
2023-05-07,"Transitional","Bed Based Capacity",NA,95.65,2023-05-01
2023-05-07,"Emergency","Room Based Capacity",99.28,NA,2023-05-01
2023-05-07,"Transitional","Bed Based Capacity",NA,100,2023-05-01
2023-05-07,"Emergency","Bed Based Capacity",NA,98.04,2023-05-01
2023-05-07,"Transitional","Bed Based Capacity",NA,77.27,2023-05-01
2023-05-07,"Transitional","Bed Based Capacity",NA,90,2023-05-01
2023-05-07,"Emergency","Room Based Capacity",96.92,NA,2023-05-01
2023-05-07,"Emergency","Bed Based Capacity",NA,98.73,2023-05-01
2023-05-07,"Emergency","Room Based Capacity",92.42,NA,2023-05-01
2023-05-07,"Emergency","Bed Based Capacity",NA,96.55,2023-05-01
2023-05-07,"Transitional","Bed Based Capacity",NA,88.46,2023-05-01
2023-05-07,"Transitional","Bed Based Capacity",NA,80,2023-05-01
2023-05-07,"Emergency","Bed Based Capacity",NA,99.09,2023-05-01
2023-05-07,"Transitional","Room Based Capacity",100,NA,2023-05-01
2023-05-07,"Emergency","Bed Based Capacity",NA,98.53,2023-05-01
2023-05-07,"Transitional","Bed Based Capacity",NA,82.35,2023-05-01
2023-05-07,"Transitional","Room Based Capacity",96,NA,2023-05-01
2023-05-07,"Emergency","Bed Based Capacity",NA,95,2023-05-01
2023-05-07,"Transitional","Bed Based Capacity",NA,93.33,2023-05-01
2023-05-07,"Transitional","Bed Based Capacity",NA,97.44,2023-05-01
2023-05-08,"Emergency","Room Based Capacity",100,NA,2023-05-01
2023-05-08,"Emergency","Bed Based Capacity",NA,62.5,2023-05-01
2023-05-08,"Emergency","Bed Based Capacity",NA,100,2023-05-01
2023-05-08,"Emergency","Room Based Capacity",98.39,NA,2023-05-01
2023-05-08,"Transitional","Bed Based Capacity",NA,100,2023-05-01
2023-05-08,"Emergency","Room Based Capacity",94.12,NA,2023-05-01
2023-05-08,"Transitional","Bed Based Capacity",NA,95.65,2023-05-01
2023-05-08,"Emergency","Bed Based Capacity",NA,92.16,2023-05-01
2023-05-08,"Transitional","Bed Based Capacity",NA,72.73,2023-05-01
2023-05-08,"Transitional","Bed Based Capacity",NA,93.33,2023-05-01
2023-05-08,"Emergency","Room Based Capacity",96.92,NA,2023-05-01
2023-05-08,"Emergency","Bed Based Capacity",NA,98.73,2023-05-01
2023-05-08,"Emergency","Bed Based Capacity",NA,94,2023-05-01
2023-05-08,"Emergency","Room Based Capacity",92.42,NA,2023-05-01
2023-05-08,"Emergency","Room Based Capacity",98.89,NA,2023-05-01
2023-05-08,"Emergency","Bed Based Capacity",NA,98.28,2023-05-01
2023-05-08,"Transitional","Bed Based Capacity",NA,88.46,2023-05-01
2023-05-08,"Transitional","Bed Based Capacity",NA,88,2023-05-01
2023-05-08,"Transitional","Room Based Capacity",100,NA,2023-05-01
2023-05-08,"Transitional","Bed Based Capacity",NA,82.35,2023-05-01
2023-05-08,"Transitional","Room Based Capacity",96,NA,2023-05-01
2023-05-08,"Emergency","Room Based Capacity",96.15,NA,2023-05-01
2023-05-08,"Transitional","Bed Based Capacity",NA,97.44,2023-05-01
2023-05-09,"Emergency","Room Based Capacity",100,NA,2023-05-01
2023-05-09,"Emergency","Bed Based Capacity",NA,25,2023-05-01
2023-05-09,"Emergency","Bed Based Capacity",NA,100,2023-05-01
2023-05-09,"Emergency","Room Based Capacity",98.39,NA,2023-05-01
2023-05-09,"Transitional","Bed Based Capacity",NA,100,2023-05-01
2023-05-09,"Emergency","Room Based Capacity",94.12,NA,2023-05-01
2023-05-09,"Transitional","Bed Based Capacity",NA,95.65,2023-05-01
2023-05-09,"Transitional","Bed Based Capacity",NA,97.85,2023-05-01
2023-05-09,"Emergency","Bed Based Capacity",NA,96.08,2023-05-01
2023-05-09,"Transitional","Bed Based Capacity",NA,72.73,2023-05-01
2023-05-09,"Transitional","Bed Based Capacity",NA,96.67,2023-05-01
2023-05-09,"Emergency","Room Based Capacity",95.38,NA,2023-05-01
2023-05-09,"Emergency","Bed Based Capacity",NA,98.73,2023-05-01
2023-05-09,"Emergency","Bed Based Capacity",NA,98.39,2023-05-01
2023-05-09,"Emergency","Room Based Capacity",92.42,NA,2023-05-01
2023-05-09,"Emergency","Room Based Capacity",98.89,NA,2023-05-01
2023-05-09,"Emergency","Bed Based Capacity",NA,93.1,2023-05-01
2023-05-09,"Transitional","Bed Based Capacity",NA,88.46,2023-05-01
2023-05-09,"Transitional","Bed Based Capacity",NA,92,2023-05-01
2023-05-09,"Transitional","Room Based Capacity",100,NA,2023-05-01
2023-05-09,"Transitional","Bed Based Capacity",NA,88.24,2023-05-01
2023-05-09,"Emergency","Bed Based Capacity",NA,71.43,2023-05-01
2023-05-09,"Transitional","Room Based Capacity",98.68,NA,2023-05-01
2023-05-09,"Transitional","Room Based Capacity",96,NA,2023-05-01
2023-05-09,"Emergency","Room Based Capacity",96.15,NA,2023-05-01
2023-05-09,"Transitional","Bed Based Capacity",NA,93.33,2023-05-01
2023-05-10,"Emergency","Room Based Capacity",100,NA,2023-05-01
2023-05-10,"Emergency","Bed Based Capacity",NA,25,2023-05-01
2023-05-10,"Emergency","Room Based Capacity",98.28,NA,2023-05-01
2023-05-10,"Emergency","Bed Based Capacity",NA,100,2023-05-01
2023-05-10,"Emergency","Room Based Capacity",98.39,NA,2023-05-01
2023-05-10,"Transitional","Bed Based Capacity",NA,100,2023-05-01
2023-05-10,"Emergency","Room Based Capacity",97.62,NA,2023-05-01
2023-05-10,"Emergency","Room Based Capacity",95,NA,2023-05-01
2023-05-10,"Emergency","Room Based Capacity",95.59,NA,2023-05-01
2023-05-10,"Transitional","Bed Based Capacity",NA,95.65,2023-05-01
2023-05-10,"Transitional","Bed Based Capacity",NA,98.92,2023-05-01
2023-05-10,"Emergency","Bed Based Capacity",NA,96.08,2023-05-01
2023-05-10,"Transitional","Bed Based Capacity",NA,77.27,2023-05-01
2023-05-10,"Transitional","Bed Based Capacity",NA,96.67,2023-05-01
2023-05-10,"Emergency","Room Based Capacity",95.38,NA,2023-05-01
2023-05-10,"Emergency","Bed Based Capacity",NA,96.2,2023-05-01
2023-05-10,"Transitional","Bed Based Capacity",NA,50,2023-05-01
2023-05-10,"Emergency","Room Based Capacity",92.42,NA,2023-05-01
2023-05-10,"Emergency","Room Based Capacity",97.78,NA,2023-05-01
2023-05-10,"Emergency","Bed Based Capacity",NA,98.28,2023-05-01
2023-05-10,"Transitional","Bed Based Capacity",NA,88.46,2023-05-01
2023-05-10,"Transitional","Bed Based Capacity",NA,92,2023-05-01
2023-05-10,"Transitional","Room Based Capacity",100,NA,2023-05-01
2023-05-10,"Emergency","Bed Based Capacity",NA,99.44,2023-05-01
2023-05-10,"Emergency","Bed Based Capacity",NA,96.67,2023-05-01
2023-05-10,"Transitional","Bed Based Capacity",NA,88.24,2023-05-01
2023-05-10,"Emergency","Bed Based Capacity",NA,91.67,2023-05-01
2023-05-10,"Emergency","Bed Based Capacity",NA,71.43,2023-05-01
2023-05-10,"Transitional","Room Based Capacity",96,NA,2023-05-01
2023-05-10,"Transitional","Bed Based Capacity",NA,93.33,2023-05-01
2023-05-11,"Emergency","Room Based Capacity",100,NA,2023-05-01
2023-05-11,"Emergency","Bed Based Capacity",NA,25,2023-05-01
2023-05-11,"Emergency","Room Based Capacity",99.35,NA,2023-05-01
2023-05-11,"Emergency","Bed Based Capacity",NA,100,2023-05-01
2023-05-11,"Transitional","Bed Based Capacity",NA,94.44,2023-05-01
2023-05-11,"Emergency","Room Based Capacity",93.18,NA,2023-05-01
2023-05-11,"Emergency","Room Based Capacity",97.22,NA,2023-05-01
2023-05-11,"Transitional","Bed Based Capacity",NA,98,2023-05-01
2023-05-11,"Emergency","Room Based Capacity",95.59,NA,2023-05-01
2023-05-11,"Transitional","Bed Based Capacity",NA,93.48,2023-05-01
2023-05-11,"Transitional","Bed Based Capacity",NA,100,2023-05-01
2023-05-11,"Emergency","Bed Based Capacity",NA,96.08,2023-05-01
2023-05-11,"Transitional","Bed Based Capacity",NA,77.27,2023-05-01
2023-05-11,"Transitional","Bed Based Capacity",NA,86.67,2023-05-01
2023-05-11,"Emergency","Room Based Capacity",96.92,NA,2023-05-01
2023-05-11,"Emergency","Bed Based Capacity",NA,98.73,2023-05-01
2023-05-11,"Transitional","Bed Based Capacity",NA,50,2023-05-01
2023-05-11,"Emergency","Room Based Capacity",92.42,NA,2023-05-01
2023-05-11,"Emergency","Room Based Capacity",97.78,NA,2023-05-01
2023-05-11,"Transitional","Bed Based Capacity",NA,96,2023-05-01
2023-05-11,"Emergency","Bed Based Capacity",NA,98.08,2023-05-01
2023-05-11,"Emergency","Bed Based Capacity",NA,98.25,2023-05-01
2023-05-11,"Transitional","Bed Based Capacity",NA,88.46,2023-05-01
2023-05-11,"Transitional","Bed Based Capacity",NA,92,2023-05-01
2023-05-11,"Transitional","Room Based Capacity",100,NA,2023-05-01
2023-05-11,"Transitional","Bed Based Capacity",NA,88.24,2023-05-01
2023-05-11,"Emergency","Bed Based Capacity",NA,71.43,2023-05-01
2023-05-11,"Transitional","Room Based Capacity",96,NA,2023-05-01
2023-05-11,"Transitional","Bed Based Capacity",NA,93.33,2023-05-01
2023-05-11,"Transitional","Bed Based Capacity",NA,97.44,2023-05-01
2023-05-12,"Emergency","Room Based Capacity",100,NA,2023-05-01
2023-05-12,"Emergency","Bed Based Capacity",NA,12.5,2023-05-01
2023-05-12,"Emergency","Bed Based Capacity",NA,100,2023-05-01
2023-05-12,"Transitional","Bed Based Capacity",NA,100,2023-05-01
2023-05-12,"Emergency","Room Based Capacity",97.67,NA,2023-05-01
2023-05-12,"Emergency","Room Based Capacity",87.8,NA,2023-05-01
2023-05-12,"Transitional","Bed Based Capacity",NA,96,2023-05-01
2023-05-12,"Emergency","Room Based Capacity",95.59,NA,2023-05-01
2023-05-12,"Transitional","Bed Based Capacity",NA,95.65,2023-05-01
2023-05-12,"Emergency","Bed Based Capacity",NA,94.12,2023-05-01
2023-05-12,"Transitional","Bed Based Capacity",NA,77.27,2023-05-01
2023-05-12,"Transitional","Bed Based Capacity",NA,86.67,2023-05-01
2023-05-12,"Emergency","Room Based Capacity",96.92,NA,2023-05-01
2023-05-12,"Emergency","Bed Based Capacity",NA,98.73,2023-05-01
2023-05-12,"Transitional","Bed Based Capacity",NA,50,2023-05-01
2023-05-12,"Emergency","Bed Based Capacity",NA,98,2023-05-01
2023-05-12,"Emergency","Room Based Capacity",92.42,NA,2023-05-01
2023-05-12,"Emergency","Room Based Capacity",98.89,NA,2023-05-01
2023-05-12,"Transitional","Bed Based Capacity",NA,97.22,2023-05-01
2023-05-12,"Emergency","Bed Based Capacity",NA,93.1,2023-05-01
2023-05-12,"Transitional","Bed Based Capacity",NA,88.46,2023-05-01
2023-05-12,"Emergency","Bed Based Capacity",NA,98.08,2023-05-01
2023-05-12,"Transitional","Room Based Capacity",100,NA,2023-05-01
2023-05-12,"Transitional","Bed Based Capacity",NA,88.24,2023-05-01
2023-05-12,"Emergency","Bed Based Capacity",NA,71.43,2023-05-01
2023-05-12,"Emergency","Bed Based Capacity",NA,89.29,2023-05-01
2023-05-12,"Transitional","Room Based Capacity",96,NA,2023-05-01
2023-05-12,"Emergency","Room Based Capacity",96.88,NA,2023-05-01
2023-05-12,"Transitional","Bed Based Capacity",NA,93.33,2023-05-01
2023-05-12,"Transitional","Bed Based Capacity",NA,97.44,2023-05-01
2023-05-13,"Emergency","Room Based Capacity",100,NA,2023-05-01
2023-05-13,"Emergency","Bed Based Capacity",NA,12.5,2023-05-01
2023-05-13,"Emergency","Bed Based Capacity",NA,100,2023-05-01
2023-05-13,"Transitional","Bed Based Capacity",NA,100,2023-05-01
2023-05-13,"Emergency","Room Based Capacity",97.67,NA,2023-05-01
2023-05-13,"Emergency","Room Based Capacity",92.68,NA,2023-05-01
2023-05-13,"Transitional","Bed Based Capacity",NA,98,2023-05-01
2023-05-13,"Emergency","Room Based Capacity",95.59,NA,2023-05-01
2023-05-13,"Transitional","Bed Based Capacity",NA,95.65,2023-05-01
2023-05-13,"Emergency","Bed Based Capacity",NA,94.12,2023-05-01
2023-05-13,"Transitional","Bed Based Capacity",NA,77.27,2023-05-01
2023-05-13,"Transitional","Bed Based Capacity",NA,86.67,2023-05-01
2023-05-13,"Emergency","Room Based Capacity",96.92,NA,2023-05-01
2023-05-13,"Emergency","Bed Based Capacity",NA,98.73,2023-05-01
2023-05-13,"Transitional","Bed Based Capacity",NA,50,2023-05-01
2023-05-13,"Emergency","Room Based Capacity",91.67,NA,2023-05-01
2023-05-13,"Emergency","Room Based Capacity",98.89,NA,2023-05-01
2023-05-13,"Transitional","Bed Based Capacity",NA,97.22,2023-05-01
2023-05-13,"Transitional","Bed Based Capacity",NA,96,2023-05-01
2023-05-13,"Emergency","Bed Based Capacity",NA,91.38,2023-05-01
2023-05-13,"Transitional","Bed Based Capacity",NA,88.46,2023-05-01
2023-05-13,"Transitional","Room Based Capacity",100,NA,2023-05-01
2023-05-13,"Transitional","Bed Based Capacity",NA,88.24,2023-05-01
2023-05-13,"Emergency","Bed Based Capacity",NA,71.43,2023-05-01
2023-05-13,"Emergency","Bed Based Capacity",NA,96.43,2023-05-01
2023-05-13,"Transitional","Room Based Capacity",96,NA,2023-05-01
2023-05-13,"Emergency","Room Based Capacity",96.88,NA,2023-05-01
2023-05-13,"Transitional","Bed Based Capacity",NA,93.33,2023-05-01
2023-05-13,"Transitional","Bed Based Capacity",NA,97.44,2023-05-01
2023-05-14,"Emergency","Room Based Capacity",100,NA,2023-05-01
2023-05-14,"Emergency","Bed Based Capacity",NA,12.5,2023-05-01
2023-05-14,"Emergency","Room Based Capacity",98.7,NA,2023-05-01
2023-05-14,"Emergency","Bed Based Capacity",NA,100,2023-05-01
2023-05-14,"Emergency","Room Based Capacity",98.77,NA,2023-05-01
2023-05-14,"Transitional","Bed Based Capacity",NA,100,2023-05-01
2023-05-14,"Emergency","Room Based Capacity",95,NA,2023-05-01
2023-05-14,"Emergency","Room Based Capacity",95.59,NA,2023-05-01
2023-05-14,"Transitional","Bed Based Capacity",NA,95.65,2023-05-01
2023-05-14,"Emergency","Bed Based Capacity",NA,94.12,2023-05-01
2023-05-14,"Transitional","Bed Based Capacity",NA,77.27,2023-05-01
2023-05-14,"Transitional","Bed Based Capacity",NA,86.67,2023-05-01
2023-05-14,"Emergency","Room Based Capacity",95.38,NA,2023-05-01
2023-05-14,"Emergency","Bed Based Capacity",NA,98.73,2023-05-01
2023-05-14,"Transitional","Bed Based Capacity",NA,50,2023-05-01
2023-05-14,"Emergency","Room Based Capacity",91.67,NA,2023-05-01
2023-05-14,"Emergency","Room Based Capacity",98.89,NA,2023-05-01
2023-05-14,"Transitional","Bed Based Capacity",NA,97.22,2023-05-01
2023-05-14,"Transitional","Bed Based Capacity",NA,96,2023-05-01
2023-05-14,"Emergency","Bed Based Capacity",NA,91.38,2023-05-01
2023-05-14,"Transitional","Bed Based Capacity",NA,88.46,2023-05-01
2023-05-14,"Emergency","Room Based Capacity",97.87,NA,2023-05-01
2023-05-14,"Transitional","Room Based Capacity",100,NA,2023-05-01
2023-05-14,"Emergency","Bed Based Capacity",NA,98.53,2023-05-01
2023-05-14,"Emergency","Bed Based Capacity",NA,97.83,2023-05-01
2023-05-14,"Transitional","Bed Based Capacity",NA,88.24,2023-05-01
2023-05-14,"Emergency","Bed Based Capacity",NA,71.43,2023-05-01
2023-05-14,"Transitional","Room Based Capacity",96,NA,2023-05-01
2023-05-14,"Emergency","Room Based Capacity",96.88,NA,2023-05-01
2023-05-14,"Transitional","Bed Based Capacity",NA,93.33,2023-05-01
2023-05-14,"Transitional","Bed Based Capacity",NA,97.44,2023-05-01
2023-05-15,"Emergency","Room Based Capacity",98,NA,2023-05-01
2023-05-15,"Emergency","Room Based Capacity",100,NA,2023-05-01
2023-05-15,"Emergency","Bed Based Capacity",NA,12.5,2023-05-01
2023-05-15,"Emergency","Bed Based Capacity",NA,97.44,2023-05-01
2023-05-15,"Emergency","Bed Based Capacity",NA,100,2023-05-01
2023-05-15,"Emergency","Room Based Capacity",91.67,NA,2023-05-01
2023-05-15,"Emergency","Room Based Capacity",98.78,NA,2023-05-01
2023-05-15,"Transitional","Bed Based Capacity",NA,94.44,2023-05-01
2023-05-15,"Transitional","Bed Based Capacity",NA,100,2023-05-01
2023-05-15,"Emergency","Room Based Capacity",95.59,NA,2023-05-01
2023-05-15,"Transitional","Bed Based Capacity",NA,95.65,2023-05-01
2023-05-15,"Transitional","Bed Based Capacity",NA,98.92,2023-05-01
2023-05-15,"Emergency","Bed Based Capacity",NA,94.12,2023-05-01
2023-05-15,"Transitional","Bed Based Capacity",NA,81.82,2023-05-01
2023-05-15,"Transitional","Bed Based Capacity",NA,66.67,2023-05-01
2023-05-15,"Emergency","Room Based Capacity",96.92,NA,2023-05-01
2023-05-15,"Emergency","Bed Based Capacity",NA,83.33,2023-05-01
2023-05-15,"Emergency","Room Based Capacity",98.89,NA,2023-05-01
2023-05-15,"Transitional","Bed Based Capacity",NA,98,2023-05-01
2023-05-15,"Transitional","Bed Based Capacity",NA,97.22,2023-05-01
2023-05-15,"Transitional","Bed Based Capacity",NA,96,2023-05-01
2023-05-15,"Emergency","Bed Based Capacity",NA,98.53,2023-05-01
2023-05-15,"Emergency","Bed Based Capacity",NA,91.38,2023-05-01
2023-05-15,"Transitional","Bed Based Capacity",NA,88.46,2023-05-01
2023-05-15,"Emergency","Room Based Capacity",97.87,NA,2023-05-01
2023-05-15,"Emergency","Bed Based Capacity",NA,98.61,2023-05-01
2023-05-15,"Transitional","Room Based Capacity",100,NA,2023-05-01
2023-05-15,"Transitional","Bed Based Capacity",NA,88.24,2023-05-01
2023-05-15,"Emergency","Bed Based Capacity",NA,71.43,2023-05-01
2023-05-15,"Transitional","Room Based Capacity",97.37,NA,2023-05-01
2023-05-15,"Transitional","Room Based Capacity",96,NA,2023-05-01
2023-05-15,"Emergency","Bed Based Capacity",NA,93.02,2023-05-01
2023-05-15,"Transitional","Bed Based Capacity",NA,93.33,2023-05-01
2023-05-15,"Transitional","Bed Based Capacity",NA,97.44,2023-05-01
2023-05-16,"Emergency","Room Based Capacity",100,NA,2023-05-01
2023-05-16,"Emergency","Bed Based Capacity",NA,12.5,2023-05-01
2023-05-16,"Emergency","Room Based Capacity",96.55,NA,2023-05-01
2023-05-16,"Emergency","Bed Based Capacity",NA,97.44,2023-05-01
2023-05-16,"Emergency","Bed Based Capacity",NA,100,2023-05-01
2023-05-16,"Transitional","Bed Based Capacity",NA,100,2023-05-01
2023-05-16,"Emergency","Room Based Capacity",99.02,NA,2023-05-01
2023-05-16,"Emergency","Room Based Capacity",97.56,NA,2023-05-01
2023-05-16,"Transitional","Bed Based Capacity",NA,98,2023-05-01
2023-05-16,"Emergency","Room Based Capacity",92.65,NA,2023-05-01
2023-05-16,"Transitional","Bed Based Capacity",NA,95.65,2023-05-01
2023-05-16,"Emergency","Bed Based Capacity",NA,94.12,2023-05-01
2023-05-16,"Transitional","Bed Based Capacity",NA,86.36,2023-05-01
2023-05-16,"Emergency","Bed Based Capacity",NA,98.61,2023-05-01
2023-05-16,"Transitional","Bed Based Capacity",NA,73.33,2023-05-01
